id,name,type,length
531,,DRIFT,0.484000
532,,BEND,0.933000
533,,DRIFT,0.585800
534,,QUAD,0.406400
535,,DRIFT,0.158300
536,,BPM,0.000000
537,,DRIFT,0.263500
538,,DRIFT,0.005000
539,,SEXT,0.190000
540,,DRIFT,0.005000
541,,DRIFT,0.195200
542,,QUAD,0.407600
543,,DRIFT,0.118700
544,,BPM,0.000000
545,,DRIFT,0.116000
546,,DRIFT,0.005000
547,,SEXT,0.290000
548,,DRIFT,0.005000
549,,DRIFT,0.234700
550,,QUAD,0.407600
551,,DRIFT,0.195200
552,,DRIFT,0.005000
553,,SEXT,0.190000
554,,DRIFT,0.005000
555,,DRIFT,0.421800
556,,QUAD,0.406400
557,,DRIFT,0.101800
558,,BPM,0.000000
559,,DRIFT,0.484000
560,,BEND,0.933000
561,,DRIFT,0.669000
562,,DRIFT,0.005000
563,,SEXT,0.290000
564,,DRIFT,0.005000
565,,DRIFT,0.196500
566,,QUAD,0.307000
567,,DRIFT,0.173000
568,,BPM,0.000000
569,,DRIFT,0.285350
570,,QUAD,0.606300
571,,DRIFT,0.231850
572,,DRIFT,0.005000
573,,SEXT,0.290000
574,,DRIFT,0.005000
575,,DRIFT,0.146800
576,,QUAD,0.406400
577,,DRIFT,1.288300
578,,BPM,0.000000
579,,DRIFT,0.002500
580,,DRIFT,1.219500
581,,DRIFT,0.050000
582,,HCHICA,0.000000
583,,DRIFT,0.050000
584,,DRIFT,0.280500
585,,DRIFT,0.150000
586,,HTRIM,0.000000
587,,VTRIM,0.000000
588,,DRIFT,0.150000
589,,DRIFT,0.977500
590,,source,0.000000
591,,DRIFT,0.977500
592,,DRIFT,0.150000
593,,HTRIM,0.000000
594,,VTRIM,0.000000
595,,DRIFT,0.150000
596,,DRIFT,0.054000
597,,DRIFT,0.050000
598,,HCHICA,0.000000
599,,DRIFT,0.050000
600,,DRIFT,0.907000
601,,DRIFT,0.050000
602,,HCHICA,0.000000
603,,DRIFT,0.050000
604,,DRIFT,0.439000
605,,DRIFT,0.002500
606,,BPM,0.000000
607,,DRIFT,1.288300
608,,QUAD,0.406400
609,,DRIFT,0.146800
610,,DRIFT,0.005000
611,,SEXT,0.290000
612,,DRIFT,0.005000
613,,DRIFT,0.231850
