el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
1657,a1,pchip,308,m^-2,A,-5,5
1695,a1,pchip,309,m^-2,A,-5,5
1715,a1,pchip,310,m^-2,A,-5,5
1729,a1,pchip,311,m^-2,A,-5,5
1749,a1,pchip,312,m^-2,A,-5,5
1804,a1,pchip,313,m^-2,A,-5,5
1824,a1,pchip,314,m^-2,A,-5,5
1838,a1,pchip,315,m^-2,A,-5,5
1858,a1,pchip,316,m^-2,A,-5,5
1882,a1,pchip,317,m^-2,A,-5,5
1902,a1,pchip,318,m^-2,A,-5,5
1916,a1,pchip,319,m^-2,A,-5,5
1937,a1,pchip,320,m^-2,A,-5,5
1961,a1,pchip,321,m^-2,A,-5,5
1981,a1,pchip,322,m^-2,A,-5,5
1995,a1,pchip,323,m^-2,A,-5,5
2016,a1,pchip,324,m^-2,A,-5,5
2040,a1,pchip,325,m^-2,A,-5,5
2060,a1,pchip,326,m^-2,A,-5,5
2074,a1,pchip,327,m^-2,A,-5,5
2095,a1,pchip,328,m^-2,A,-5,5
2133,a1,pchip,329,m^-2,A,-5,5
2153,a1,pchip,330,m^-2,A,-5,5
2167,a1,pchip,331,m^-2,A,-5,5
2188,a1,pchip,332,m^-2,A,-5,5
8,x_kick,poly,333,,A,-5,5
16,x_kick,poly,334,,A,-5,5
28,x_kick,poly,335,,A,-5,5
36,x_kick,poly,336,,A,-5,5
42,x_kick,poly,337,,A,-5,5
52,x_kick,poly,338,,A,-5,5
62,x_kick,poly,339,,A,-5,5
101,x_kick,poly,340,,A,-5,5
126,x_kick,poly,341,,A,-5,5
130,x_kick,poly,342,,A,-5,5
139,x_kick,poly,343,,A,-4,4
165,x_kick,poly,344,,A,-4,4
185,x_kick,poly,345,,A,-5,5
189,x_kick,poly,346,,A,-5,5
208,x_kick,poly,347,,A,-5,5
251,x_kick,poly,348,,A,-5,5
259,x_kick,poly,349,,A,-5,5
271,x_kick,poly,350,,A,-5,5
279,x_kick,poly,351,,A,-5,5
