id,name,field,get_pv,set_pv,enable_pv,enable_value
735,SR08C-DI-EBPM-06,x,:SA:X,,:CF:ENABLED_S,1
735,SR08C-DI-EBPM-06,y,:SA:Y,,:CF:ENABLED_S,1
737,SR08A-PC-Q2D-09,b1,:I,:SETI,,
740,SR08A-PC-S1D-07,b2,:I,:SETI,,
740,SR08A-PC-HSTR-07,b0,:I,:SETI,,
740,SR08A-PC-VSTR-07,a0,:I,:SETI,,
743,SR08A-PC-Q1D-10,b1,:I,:SETI,,
745,SR08A-PC-QUADF-01,b1,:I,:SETI,,
751,SR08C-DI-EBPM-07,x,:SA:X,,:CF:ENABLED_S,1
751,SR08C-DI-EBPM-07,y,:SA:Y,,:CF:ENABLED_S,1
763,SR09S-DI-EBPM-01,x,:SA:X,,:CF:ENABLED_S,1
763,SR09S-DI-EBPM-01,y,:SA:Y,,:CF:ENABLED_S,1
764,SR09S-PC-HSTR-01,b0,:I,:SETI,,
764,SR09S-PC-VSTR-01,a0,:I,:SETI,,
770,SR09S-PC-QUADD-02,b1,:I,:SETI,,
772,SR09S-PC-QUADF-03,b1,:I,:SETI,,
774,SR09S-DI-EBPM-02,x,:SA:X,,:CF:ENABLED_S,1
774,SR09S-DI-EBPM-02,y,:SA:Y,,:CF:ENABLED_S,1
775,SR09S-PC-HSTR-02,b0,:I,:SETI,,
775,SR09S-PC-VSTR-02,a0,:I,:SETI,,
787,SR09C-DI-EBPM-01,x,:SA:X,,:CF:ENABLED_S,1
787,SR09C-DI-EBPM-01,y,:SA:Y,,:CF:ENABLED_S,1
793,SR09A-PC-QUADF-04,b1,:I,:SETI,,
795,SR09A-PC-Q1D-01,b1,:I,:SETI,,
798,SR09A-PC-S1D-01,b2,:I,:SETI,,
798,SR09A-PC-HSTR-01,b0,:I,:SETI,,
798,SR09A-PC-VSTR-01,a0,:I,:SETI,,
801,SR09A-PC-Q2D-02,b1,:I,:SETI,,
803,SR09A-PC-Q3D-03,b1,:I,:SETI,,
806,SR09A-PC-S2D-02,b2,:I,:SETI,,
806,SR09A-PC-HSTR-02,b0,:I,:SETI,,
806,SR09A-PC-VSTR-02,a0,:I,:SETI,,
809,SR09C-DI-EBPM-02,x,:SA:X,,:CF:ENABLED_S,1
809,SR09C-DI-EBPM-02,y,:SA:Y,,:CF:ENABLED_S,1
811,SR-PC-DIPOL-01,b0,:I,:SETI,,
813,SR09A-PC-Q2AD-04,b1,:I,:SETI,,
815,SR09C-DI-EBPM-03,x,:SA:X,,:CF:ENABLED_S,1
815,SR09C-DI-EBPM-03,y,:SA:Y,,:CF:ENABLED_S,1
818,SR09A-PC-S2A-03,b2,:I,:SETI,,
818,SR09A-PC-HSTR-03,b0,:I,:SETI,,
818,SR09A-PC-VSTR-03,a0,:I,:SETI,,
821,SR09A-PC-Q1AD-05,b1,:I,:SETI,,
823,SR09C-DI-EBPM-04,x,:SA:X,,:CF:ENABLED_S,1
823,SR09C-DI-EBPM-04,y,:SA:Y,,:CF:ENABLED_S,1
826,SR09A-PC-S1A-04,b2,:I,:SETI,,
826,SR09A-PC-HSTR-04,b0,:I,:SETI,,
826,SR09A-PC-VSTR-04,a0,:I,:SETI,,
829,SR09A-PC-Q1AB-06,b1,:I,:SETI,,
832,SR09A-PC-S2A-05,b2,:I,:SETI,,
832,SR09A-PC-HSTR-05,b0,:I,:SETI,,
832,SR09A-PC-VSTR-05,a0,:I,:SETI,,
835,SR09A-PC-Q2AB-07,b1,:I,:SETI,,
837,SR09C-DI-EBPM-05,x,:SA:X,,:CF:ENABLED_S,1
837,SR09C-DI-EBPM-05,y,:SA:Y,,:CF:ENABLED_S,1
839,SR-PC-DIPOL-01,b0,:I,:SETI,,
842,SR09A-PC-S2C-06,b2,:I,:SETI,,
842,SR09A-PC-HSTR-06,b0,:I,:SETI,,
842,SR09A-PC-VSTR-06,a0,:I,:SETI,,
845,SR09A-PC-Q3B-08,b1,:I,:SETI,,
847,SR09C-DI-EBPM-06,x,:SA:X,,:CF:ENABLED_S,1
847,SR09C-DI-EBPM-06,y,:SA:Y,,:CF:ENABLED_S,1
849,SR09A-PC-Q2B-09,b1,:I,:SETI,,
852,SR09A-PC-S1C-07,b2,:I,:SETI,,
852,SR09A-PC-HSTR-07,b0,:I,:SETI,,
852,SR09A-PC-VSTR-07,a0,:I,:SETI,,
855,SR09A-PC-Q1B-10,b1,:I,:SETI,,
857,SR09C-DI-EBPM-07,x,:SA:X,,:CF:ENABLED_S,1
857,SR09C-DI-EBPM-07,y,:SA:Y,,:CF:ENABLED_S,1
907,SR10C-DI-EBPM-01,x,:SA:X,,:CF:ENABLED_S,1
907,SR10C-DI-EBPM-01,y,:SA:Y,,:CF:ENABLED_S,1
909,SR10A-PC-Q1B-01,b1,:I,:SETI,,
912,SR10A-PC-S1B-01,b2,:I,:SETI,,
912,SR10A-PC-HSTR-01,b0,:I,:SETI,,
912,SR10A-PC-VSTR-01,a0,:I,:SETI,,
915,SR10A-PC-Q2B-02,b1,:I,:SETI,,
917,SR10A-PC-Q3B-03,b1,:I,:SETI,,
920,SR10A-PC-S2B-02,b2,:I,:SETI,,
920,SR10A-PC-HSTR-02,b0,:I,:SETI,,
920,SR10A-PC-VSTR-02,a0,:I,:SETI,,
923,SR10C-DI-EBPM-02,x,:SA:X,,:CF:ENABLED_S,1
