id,family
1166,HTRIM
1167,VTRIM
1168,DRIFT
1169,BPM
1170,D13_12
1171,DRIFT
1172,HCHICA
1173,DRIFT
1174,D13_13
1175,QM13
1176,D13_14
1177,Q1D
1178,D2B
1179,DSEXT
1180,S1D
1180,SQUAD
1180,HSTR
1180,VSTR
1181,DSEXT
1182,D3B
1183,Q2D
1184,D4B
1185,Q3D
1186,D5B
1187,DSEXT
1188,S2D
1188,HSTR
1188,VSTR
1189,DSEXT
1190,D6Ba
1191,BPM
1192,D6Bb
1193,BB
1194,D4A
1195,Q2AD
1196,D3Aa
1197,BPM
1198,D3Ab
1199,DSEXT
1200,S2A
1200,SQUAD
1200,HSTR
1200,VSTR
1201,DSEXT
1202,D2A
1203,Q1AD
1204,D1Aa
1205,BPM
1206,D1Ab
1207,DSEXT
1208,S1A
1208,HSTR
1208,VSTR
1209,DSEXT
1210,D1A
1211,Q1AB
1212,D2A
1213,DSEXT
1214,S2A
1214,SQUAD
1214,HSTR
1214,VSTR
1215,DSEXT
1216,D3A
1217,Q2AB
1218,D4Aa
1219,BPM
1220,D4Ab
1221,BB
1222,D6B
1223,DSEXT
1224,S2C
1224,HSTR
1224,VSTR
1225,DSEXT
1226,D5B
1227,Q3B
1228,D4Ba
1229,BPM
1230,D4Bb
1231,Q2B
1232,D3B
1233,DSEXT
1234,S1C
1234,SQUAD
1234,HSTR
1234,VSTR
1235,DSEXT
1236,D2B
1237,Q1B
1238,KD1
1239,BPM
1240,DBPM
1241,DRIFT
1242,HTRIM
1243,VTRIM
1244,DRIFT
1245,DRIFT
1246,source
1247,DRIFT
1248,DRIFT
1249,HTRIM
1250,VTRIM
1251,DRIFT
1252,DBPM
1253,BPM
1254,KD1
1255,Q1B
1256,D2B
1257,DSEXT
1258,S1B
1258,SQUAD
1258,HSTR
1258,VSTR
1259,DSEXT
1260,D3B
1261,Q2B
1262,D4B
1263,Q3B
1264,D5B
1265,DSEXT
1266,S2B
1266,HSTR
1266,VSTR
1267,DSEXT
1268,D6Ba
1269,BPM
1270,D6Bb
1271,BB
1272,D4A
1273,Q2AB
1274,D3Aa
1275,BPM
1276,D3Ab
1277,DSEXT
1278,S2A
1278,SQUAD
1278,HSTR
1278,VSTR
1279,DSEXT
1280,D2A
1281,Q1AB
1282,D1Aa
1283,BPM
1284,D1Ab
1285,DSEXT
1286,S1A
1286,HSTR
1286,VSTR
1287,DSEXT
1288,D1A
1289,Q1AB
1290,D2A
1291,DSEXT
1292,S2A
1292,SQUAD
1292,HSTR
1292,VSTR
1293,DSEXT
1294,D3A
1295,Q2AB
1296,D4Aa
1297,BPM
1298,D4Ab
1299,BB
1300,D6B
1301,DSEXT
1302,S2B
1302,HSTR
1302,VSTR
1303,DSEXT
1304,D5B
1305,Q3B
1306,D4Ba
1307,BPM
1308,D4Bb
1309,Q2B
1310,D3B
1311,DSEXT
1312,S1B
1312,SQUAD
1312,HSTR
1312,VSTR
1313,DSEXT
1314,D2B
1315,Q1B
1316,KD1
1317,BPM
1318,DBPM
1319,DRIFT
1320,DRIFT
1321,HTRIM
1322,VTRIM
1323,DRIFT
1324,MPW15
1325,DRIFT
1326,HTRIM
1327,VTRIM
1328,DRIFT
1329,DRIFT
1330,DBPM
1331,BPM
1332,KD1
1333,Q1B
1334,D2B
1335,DSEXT
1336,S1B
1336,SQUAD
1336,HSTR
1336,VSTR
1337,DSEXT
1338,D3B
1339,Q2B
1340,D4B
1341,Q3B
1342,D5B
1343,DSEXT
1344,S2B
1344,HSTR
1344,VSTR
1345,DSEXT
1346,D6Ba
1347,BPM
1348,D6Bb
1349,BB
1350,D4A
1351,Q2AB
1352,D3Aa
1353,BPM
1354,D3Ab
1355,DSEXT
1356,S2A
1356,SQUAD
1356,HSTR
1356,VSTR
1357,DSEXT
1358,D2A
1359,Q1AB
1360,D1Aa
1361,BPM
1362,D1Ab
1363,DSEXT
1364,S1A
1364,HSTR
1364,VSTR
1365,DSEXT
1366,D1A
1367,Q1AB
1368,D2A
1369,DSEXT
1370,S2A
1370,SQUAD
1370,HSTR
1370,VSTR
1371,DSEXT
1372,D3A
1373,Q2AB
1374,D4Aa
1375,BPM
1376,D4Ab
1377,BB
1378,D6B
1379,DSEXT
1380,S2B
1380,HSTR
1380,VSTR
1381,DSEXT
1382,D5B
1383,Q3B
1384,D4Ba
1385,BPM
1386,D4Bb
1387,Q2B
1388,D3B
1389,DSEXT
1390,S1B
1390,SQUAD
1390,HSTR
1390,VSTR
1391,DSEXT
1392,D2B
1393,Q1B
1394,KD1
1395,BPM
1396,DBPM
1397,DRIFT
1398,DRIFT
1399,HTRIM
1400,VTRIM
1401,DRIFT
1402,U27
1403,source
1404,U27
1405,DRIFT
1406,HTRIM
1407,VTRIM
1408,DRIFT
1409,DRIFT
1410,DBPM
1411,BPM
1412,KD1
1413,Q1B
1414,D2B
1415,DSEXT
1416,S1C
1416,SQUAD
1416,HSTR
1416,VSTR
1417,DSEXT
1418,D3B
1419,Q2B
1420,D4B
1421,Q3B
1422,D5B
1423,DSEXT
1424,S2C
1424,HSTR
1424,VSTR
1425,DSEXT
1426,D6Ba
1427,BPM
1428,D6Bb
1429,BB
1430,D4A
1431,Q2AB
1432,D3Aa
1433,BPM
1434,D3Ab
1435,DSEXT
1436,S2A
1436,SQUAD
1436,HSTR
1436,VSTR
1437,DSEXT
1438,D2A
1439,Q1AB
1440,D1Aa
1441,BPM
1442,D1Ab
1443,DSEXT
1444,S1A
1444,HSTR
1444,VSTR
1445,DSEXT
1446,D1A
1447,Q1AD
1448,D2A
1449,DSEXT
1450,S2A
1450,SQUAD
1450,HSTR
1450,VSTR
1451,DSEXT
1452,D3A
1453,Q2AD
1454,D4Aa
1455,BPM
1456,D4Ab
1457,source
1458,BB
1459,D6B
1460,DSEXT
1461,S2D
1461,HSTR
1461,VSTR
1462,DSEXT
1463,D5B
1464,Q3D
1465,D4Ba
1466,BPM
1467,D4Bb
1468,Q2D
1469,D3B
1470,DSEXT
1471,S1D
1471,SQUAD
1471,HSTR
1471,VSTR
1472,DSEXT
1473,D2B
1474,Q1D
1475,KD1
1476,BPM
1477,D1D2
1478,RF
1479,AP
1480,D1D2
1481,BPM
1482,KD1
1483,Q1D
1484,D2B
1485,DSEXT
1486,S1D
1486,SQUAD
1486,HSTR
1486,VSTR
1487,DSEXT
1488,D3B
1489,Q2D
1490,D4B
1491,Q3D
1492,D5B
1493,DSEXT
1494,S2D
1494,HSTR
1494,VSTR
1495,DSEXT
1496,D6Ba
1497,BPM
1498,D6Bb
1499,BB
1500,D4A
1501,Q2AD
1502,D3Aa
1503,BPM
1504,D3Ab
1505,DSEXT
1506,S2A
1506,SQUAD
1506,HSTR
1506,VSTR
1507,DSEXT
1508,D2A
1509,Q1AD
1510,D1Aa
1511,BPM
1512,D1Ab
1513,DSEXT
1514,S1A
1514,HSTR
1514,VSTR
1515,DSEXT
1516,D1A
1517,Q1AB
1518,D2A
1519,DSEXT
1520,S2A
1520,SQUAD
1520,HSTR
1520,VSTR
1521,DSEXT
1522,D3A
1523,Q2AB
1524,D4Aa
1525,BPM
1526,D4Ab
1527,BB
1528,D6B
1529,DSEXT
1530,S2C
1530,HSTR
1530,VSTR
1531,DSEXT
1532,D5B
1533,Q3B
1534,D4Ba
1535,BPM
1536,D4Bb
1537,Q2B
1538,D3B
1539,DSEXT
1540,S1C
