el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
741,x,poly,118,mm,m,,
741,y,poly,118,mm,m,,
757,x,poly,118,mm,m,,
757,y,poly,118,mm,m,,
769,x,poly,118,mm,m,,
769,y,poly,118,mm,m,,
782,x,poly,118,mm,m,,
782,y,poly,118,mm,m,,
797,x,poly,118,mm,m,,
797,y,poly,118,mm,m,,
819,x,poly,118,mm,m,,
819,y,poly,118,mm,m,,
825,x,poly,118,mm,m,,
825,y,poly,118,mm,m,,
833,x,poly,118,mm,m,,
833,y,poly,118,mm,m,,
847,x,poly,118,mm,m,,
847,y,poly,118,mm,m,,
857,x,poly,118,mm,m,,
857,y,poly,118,mm,m,,
867,x,poly,118,mm,m,,
867,y,poly,118,mm,m,,
917,x,poly,118,mm,m,,
917,y,poly,118,mm,m,,
933,x,poly,118,mm,m,,
933,y,poly,118,mm,m,,
939,x,poly,118,mm,m,,
939,y,poly,118,mm,m,,
947,x,poly,118,mm,m,,
947,y,poly,118,mm,m,,
961,x,poly,118,mm,m,,
961,y,poly,118,mm,m,,
971,x,poly,118,mm,m,,
971,y,poly,118,mm,m,,
981,x,poly,118,mm,m,,
981,y,poly,118,mm,m,,
1009,x,poly,118,mm,m,,
1009,y,poly,118,mm,m,,
1025,x,poly,118,mm,m,,
1025,y,poly,118,mm,m,,
1031,x,poly,118,mm,m,,
1031,y,poly,118,mm,m,,
1039,x,poly,118,mm,m,,
1039,y,poly,118,mm,m,,
1055,x,poly,118,mm,m,,
1055,y,poly,118,mm,m,,
1065,x,poly,118,mm,m,,
1065,y,poly,118,mm,m,,
1075,x,poly,118,mm,m,,
1075,y,poly,118,mm,m,,
1090,x,poly,118,mm,m,,
1090,y,poly,118,mm,m,,
1106,x,poly,118,mm,m,,
1106,y,poly,118,mm,m,,
1112,x,poly,118,mm,m,,
1112,y,poly,118,mm,m,,
1120,x,poly,118,mm,m,,
1120,y,poly,118,mm,m,,
1134,x,poly,118,mm,m,,
1134,y,poly,118,mm,m,,
1144,x,poly,118,mm,m,,
1144,y,poly,118,mm,m,,
1160,x,poly,118,mm,m,,
1160,y,poly,118,mm,m,,
1172,x,poly,118,mm,m,,
1172,y,poly,118,mm,m,,
1185,x,poly,118,mm,m,,
1185,y,poly,118,mm,m,,
1200,x,poly,118,mm,m,,
1200,y,poly,118,mm,m,,
1222,x,poly,118,mm,m,,
1222,y,poly,118,mm,m,,
1228,x,poly,118,mm,m,,
1228,y,poly,118,mm,m,,
1236,x,poly,118,mm,m,,
1236,y,poly,118,mm,m,,
1250,x,poly,118,mm,m,,
1250,y,poly,118,mm,m,,
1260,x,poly,118,mm,m,,
1260,y,poly,118,mm,m,,
1270,x,poly,118,mm,m,,
1270,y,poly,118,mm,m,,
1284,x,poly,118,mm,m,,
1284,y,poly,118,mm,m,,
1300,x,poly,118,mm,m,,
1300,y,poly,118,mm,m,,
1306,x,poly,118,mm,m,,
1306,y,poly,118,mm,m,,
1314,x,poly,118,mm,m,,
1314,y,poly,118,mm,m,,
1328,x,poly,118,mm,m,,
1328,y,poly,118,mm,m,,
1338,x,poly,118,mm,m,,
1338,y,poly,118,mm,m,,
1348,x,poly,118,mm,m,,
1348,y,poly,118,mm,m,,
1363,x,poly,118,mm,m,,
1363,y,poly,118,mm,m,,
1379,x,poly,118,mm,m,,
1379,y,poly,118,mm,m,,
1385,x,poly,118,mm,m,,
1385,y,poly,118,mm,m,,
1393,x,poly,118,mm,m,,
1393,y,poly,118,mm,m,,
1407,x,poly,118,mm,m,,
1407,y,poly,118,mm,m,,
1417,x,poly,118,mm,m,,
1417,y,poly,118,mm,m,,
1427,x,poly,118,mm,m,,
1427,y,poly,118,mm,m,,
1443,x,poly,118,mm,m,,
1443,y,poly,118,mm,m,,
1459,x,poly,118,mm,m,,
1459,y,poly,118,mm,m,,
1465,x,poly,118,mm,m,,
1465,y,poly,118,mm,m,,
1473,x,poly,118,mm,m,,
1473,y,poly,118,mm,m,,
1487,x,poly,118,mm,m,,
1487,y,poly,118,mm,m,,
1498,x,poly,118,mm,m,,
1498,y,poly,118,mm,m,,
1508,x,poly,118,mm,m,,
1508,y,poly,118,mm,m,,
1513,x,poly,118,mm,m,,
1513,y,poly,118,mm,m,,
1529,x,poly,118,mm,m,,
1529,y,poly,118,mm,m,,
1535,x,poly,118,mm,m,,
1535,y,poly,118,mm,m,,
1543,x,poly,118,mm,m,,
1543,y,poly,118,mm,m,,
1557,x,poly,118,mm,m,,
1557,y,poly,118,mm,m,,
1567,x,poly,118,mm,m,,
1567,y,poly,118,mm,m,,
1577,x,poly,118,mm,m,,
1577,y,poly,118,mm,m,,
1593,x,poly,118,mm,m,,
1593,y,poly,118,mm,m,,
1609,x,poly,118,mm,m,,
1609,y,poly,118,mm,m,,
1615,x,poly,118,mm,m,,
1615,y,poly,118,mm,m,,
1623,x,poly,118,mm,m,,
1623,y,poly,118,mm,m,,
1637,x,poly,118,mm,m,,
1637,y,poly,118,mm,m,,
1648,x,poly,118,mm,m,,
1648,y,poly,118,mm,m,,
1658,x,poly,118,mm,m,,
1658,y,poly,118,mm,m,,
1686,x,poly,118,mm,m,,
1686,y,poly,118,mm,m,,
1702,x,poly,118,mm,m,,
1702,y,poly,118,mm,m,,
1708,x,poly,118,mm,m,,
1708,y,poly,118,mm,m,,
1716,x,poly,118,mm,m,,
1716,y,poly,118,mm,m,,
1730,x,poly,118,mm,m,,
1730,y,poly,118,mm,m,,
1740,x,poly,118,mm,m,,
1740,y,poly,118,mm,m,,
1750,x,poly,118,mm,m,,
1750,y,poly,118,mm,m,,
1794,x,poly,118,mm,m,,
1794,y,poly,118,mm,m,,
1811,x,poly,118,mm,m,,
1811,y,poly,118,mm,m,,
1817,x,poly,118,mm,m,,
1817,y,poly,118,mm,m,,
1825,x,poly,118,mm,m,,
1825,y,poly,118,mm,m,,
1839,x,poly,118,mm,m,,
1839,y,poly,118,mm,m,,
1849,x,poly,118,mm,m,,
1849,y,poly,118,mm,m,,
1859,x,poly,118,mm,m,,
1859,y,poly,118,mm,m,,
1873,x,poly,118,mm,m,,
1873,y,poly,118,mm,m,,
1889,x,poly,118,mm,m,,
1889,y,poly,118,mm,m,,
1895,x,poly,118,mm,m,,
1895,y,poly,118,mm,m,,
1903,x,poly,118,mm,m,,
1903,y,poly,118,mm,m,,
1917,x,poly,118,mm,m,,
1917,y,poly,118,mm,m,,
1928,x,poly,118,mm,m,,
1928,y,poly,118,mm,m,,
1938,x,poly,118,mm,m,,
1938,y,poly,118,mm,m,,
1952,x,poly,118,mm,m,,
1952,y,poly,118,mm,m,,
1968,x,poly,118,mm,m,,
1968,y,poly,118,mm,m,,
1974,x,poly,118,mm,m,,
