el_id,name,field,get_pv,set_pv
1108,SR12C-DI-EBPM-02,y_sofb_disabled,SR12C-PC-VBPM-02:SLOW:DISABLED,
1110,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
1112,SR12A-PC-Q2AB-04,b1,SR12A-PC-Q2AB-04:I,SR12A-PC-Q2AB-04:SETI
1114,SR12C-DI-EBPM-03,x,SR12C-DI-EBPM-03:SA:X,
1114,SR12C-DI-EBPM-03,y,SR12C-DI-EBPM-03:SA:Y,
1114,SR12C-DI-EBPM-03,enabled,SR12C-DI-EBPM-03:CF:ENABLED_S,
1114,SR12C-DI-EBPM-03,x_fofb_disabled,SR12C-PC-HBPM-03:FAST:DISABLED,
1114,SR12C-DI-EBPM-03,x_sofb_disabled,SR12C-PC-HBPM-03:SLOW:DISABLED,
1114,SR12C-DI-EBPM-03,y_fofb_disabled,SR12C-PC-VBPM-03:FAST:DISABLED,
1114,SR12C-DI-EBPM-03,y_sofb_disabled,SR12C-PC-VBPM-03:SLOW:DISABLED,
1117,SR12A-PC-S2A-03,b2,SR12A-PC-S2A-03:I,SR12A-PC-S2A-03:SETI
1117,SR12A-PC-HSTR-03,x_kick,SR12A-PC-HSTR-03:I,SR12A-PC-HSTR-03:SETI
1117,SR12A-PC-HSTR-03,h_fofb_disabled,SR12A-PC-HSTR-03:FAST:DISABLED,
1117,SR12A-PC-HSTR-03,h_sofb_disabled,SR12A-PC-HSTR-03:SLOW:DISABLED,
1117,SR12A-PC-VSTR-03,y_kick,SR12A-PC-VSTR-03:I,SR12A-PC-VSTR-03:SETI
1117,SR12A-PC-VSTR-03,v_fofb_disabled,SR12A-PC-VSTR-03:FAST:DISABLED,
1117,SR12A-PC-VSTR-03,v_sofb_disabled,SR12A-PC-VSTR-03:SLOW:DISABLED,
1120,SR12A-PC-Q1AB-05,b1,SR12A-PC-Q1AB-05:I,SR12A-PC-Q1AB-05:SETI
1122,SR12C-DI-EBPM-04,x,SR12C-DI-EBPM-04:SA:X,
1122,SR12C-DI-EBPM-04,y,SR12C-DI-EBPM-04:SA:Y,
1122,SR12C-DI-EBPM-04,enabled,SR12C-DI-EBPM-04:CF:ENABLED_S,
1122,SR12C-DI-EBPM-04,x_fofb_disabled,SR12C-PC-HBPM-04:FAST:DISABLED,
1122,SR12C-DI-EBPM-04,x_sofb_disabled,SR12C-PC-HBPM-04:SLOW:DISABLED,
1122,SR12C-DI-EBPM-04,y_fofb_disabled,SR12C-PC-VBPM-04:FAST:DISABLED,
1122,SR12C-DI-EBPM-04,y_sofb_disabled,SR12C-PC-VBPM-04:SLOW:DISABLED,
1125,SR12A-PC-S1A-04,b2,SR12A-PC-S1A-04:I,SR12A-PC-S1A-04:SETI
1125,SR12A-PC-HSTR-04,x_kick,SR12A-PC-HSTR-04:I,SR12A-PC-HSTR-04:SETI
1125,SR12A-PC-HSTR-04,h_fofb_disabled,SR12A-PC-HSTR-04:FAST:DISABLED,
1125,SR12A-PC-HSTR-04,h_sofb_disabled,SR12A-PC-HSTR-04:SLOW:DISABLED,
1125,SR12A-PC-VSTR-04,y_kick,SR12A-PC-VSTR-04:I,SR12A-PC-VSTR-04:SETI
1125,SR12A-PC-VSTR-04,v_fofb_disabled,SR12A-PC-VSTR-04:FAST:DISABLED,
1125,SR12A-PC-VSTR-04,v_sofb_disabled,SR12A-PC-VSTR-04:SLOW:DISABLED,
