el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
1861,y,poly,119,mm,m,,
1875,x,poly,119,mm,m,,
1875,y,poly,119,mm,m,,
1891,x,poly,119,mm,m,,
1891,y,poly,119,mm,m,,
1897,x,poly,119,mm,m,,
1897,y,poly,119,mm,m,,
1905,x,poly,119,mm,m,,
1905,y,poly,119,mm,m,,
1919,x,poly,119,mm,m,,
1919,y,poly,119,mm,m,,
1930,x,poly,119,mm,m,,
1930,y,poly,119,mm,m,,
1940,x,poly,119,mm,m,,
1940,y,poly,119,mm,m,,
1954,x,poly,119,mm,m,,
1954,y,poly,119,mm,m,,
1970,x,poly,119,mm,m,,
1970,y,poly,119,mm,m,,
1976,x,poly,119,mm,m,,
1976,y,poly,119,mm,m,,
1984,x,poly,119,mm,m,,
1984,y,poly,119,mm,m,,
1998,x,poly,119,mm,m,,
1998,y,poly,119,mm,m,,
2009,x,poly,119,mm,m,,
2009,y,poly,119,mm,m,,
2019,x,poly,119,mm,m,,
2019,y,poly,119,mm,m,,
2033,x,poly,119,mm,m,,
2033,y,poly,119,mm,m,,
2049,x,poly,119,mm,m,,
2049,y,poly,119,mm,m,,
2055,x,poly,119,mm,m,,
2055,y,poly,119,mm,m,,
2063,x,poly,119,mm,m,,
2063,y,poly,119,mm,m,,
2077,x,poly,119,mm,m,,
2077,y,poly,119,mm,m,,
2088,x,poly,119,mm,m,,
2088,y,poly,119,mm,m,,
2098,x,poly,119,mm,m,,
2098,y,poly,119,mm,m,,
2126,x,poly,119,mm,m,,
2126,y,poly,119,mm,m,,
2142,x,poly,119,mm,m,,
2142,y,poly,119,mm,m,,
2148,x,poly,119,mm,m,,
2148,y,poly,119,mm,m,,
2156,x,poly,119,mm,m,,
2156,y,poly,119,mm,m,,
2170,x,poly,119,mm,m,,
2170,y,poly,119,mm,m,,
2181,x,poly,119,mm,m,,
2181,y,poly,119,mm,m,,
2191,x,poly,119,mm,m,,
2191,y,poly,119,mm,m,,
75,x_kick,poly,120,,A,-5,5
82,x_kick,poly,121,,A,-5,5
150,x_kick,poly,122,,A,-5,5
157,x_kick,poly,123,,A,-5,5
226,x_kick,poly,124,,A,-5,5
233,x_kick,poly,125,,A,-5,5
318,x_kick,poly,126,,A,-5,5
325,x_kick,poly,127,,A,-5,5
333,x_kick,poly,128,,A,-4,4
340,x_kick,poly,129,,A,-4,4
416,x_kick,poly,130,,A,-5,5
423,x_kick,poly,131,,A,-5,5
497,x_kick,poly,132,,A,-5,5
504,x_kick,poly,133,,A,-5,5
508,x_kick,poly,134,,A,-5,5
515,x_kick,poly,135,,A,-5,5
592,x_kick,poly,136,,A,-5,5
599,x_kick,poly,137,,A,-5,5
680,x_kick,poly,138,,A,-5,5
687,x_kick,poly,139,,A,-5,5
763,x_kick,poly,140,,A,-5,5
770,x_kick,poly,141,,A,-5,5
791,x_kick,poly,142,,A,-5,5
798,x_kick,poly,143,,A,-5,5
882,x_kick,poly,144,,A,-5,5
889,x_kick,poly,145,,A,-5,5
902,x_kick,poly,146,,A,-5,5
909,x_kick,poly,147,,A,-5,5
993,x_kick,poly,148,,A,-5,5
1000,x_kick,poly,149,,A,-5,5
