id,field,get_pv,set_pv,enable_pv,enable_value
1119,b1,SR12A-PC-Q2D-09:I,SR12A-PC-Q2D-09:SETI,,
1122,b2,SR12A-PC-S1D-07:I,SR12A-PC-S1D-07:SETI,,
1122,b0,SR12A-PC-HSTR-07:I,SR12A-PC-HSTR-07:SETI,,
1122,a0,SR12A-PC-VSTR-07:I,SR12A-PC-VSTR-07:SETI,,
1125,b1,SR12A-PC-Q1D-10:I,SR12A-PC-Q1D-10:SETI,,
1127,b1,SR12A-PC-QUADF-01:I,SR12A-PC-QUADF-01:SETI,,
1133,x,SR12C-DI-EBPM-07:SA:X,,SR12C-DI-EBPM-07:CF:ENABLED_S,1
1133,y,SR12C-DI-EBPM-07:SA:Y,,SR12C-DI-EBPM-07:CF:ENABLED_S,1
1145,x,SR13S-DI-EBPM-01:SA:X,,SR13S-DI-EBPM-01:CF:ENABLED_S,1
1145,y,SR13S-DI-EBPM-01:SA:Y,,SR13S-DI-EBPM-01:CF:ENABLED_S,1
1146,b0,SR13S-PC-HSTR-01:I,SR13S-PC-HSTR-01:SETI,,
1146,a0,SR13S-PC-VSTR-01:I,SR13S-PC-VSTR-01:SETI,,
1152,b1,SR13S-PC-QUADD-02:I,SR13S-PC-QUADD-02:SETI,,
1154,b1,SR13S-PC-QUADF-03:I,SR13S-PC-QUADF-03:SETI,,
1156,x,SR13S-DI-EBPM-02:SA:X,,SR13S-DI-EBPM-02:CF:ENABLED_S,1
1156,y,SR13S-DI-EBPM-02:SA:Y,,SR13S-DI-EBPM-02:CF:ENABLED_S,1
1157,b0,SR13S-PC-HSTR-02:I,SR13S-PC-HSTR-02:SETI,,
1157,a0,SR13S-PC-VSTR-02:I,SR13S-PC-VSTR-02:SETI,,
1169,x,SR13C-DI-EBPM-01:SA:X,,SR13C-DI-EBPM-01:CF:ENABLED_S,1
1169,y,SR13C-DI-EBPM-01:SA:Y,,SR13C-DI-EBPM-01:CF:ENABLED_S,1
1175,b1,SR13A-PC-QUADF-04:I,SR13A-PC-QUADF-04:SETI,,
1177,b1,SR13A-PC-Q1D-01:I,SR13A-PC-Q1D-01:SETI,,
1180,b2,SR13A-PC-S1D-01:I,SR13A-PC-S1D-01:SETI,,
1180,b0,SR13A-PC-HSTR-01:I,SR13A-PC-HSTR-01:SETI,,
1180,a0,SR13A-PC-VSTR-01:I,SR13A-PC-VSTR-01:SETI,,
1183,b1,SR13A-PC-Q2D-02:I,SR13A-PC-Q2D-02:SETI,,
1185,b1,SR13A-PC-Q3D-03:I,SR13A-PC-Q3D-03:SETI,,
1188,b2,SR13A-PC-S2D-02:I,SR13A-PC-S2D-02:SETI,,
1188,b0,SR13A-PC-HSTR-02:I,SR13A-PC-HSTR-02:SETI,,
