id,name,field,get_pv,set_pv
118,SR02C-DI-EBPM-02,x,SR02C-DI-EBPM-02:SA:X,
118,SR02C-DI-EBPM-02,y,SR02C-DI-EBPM-02:SA:Y,
118,SR02C-DI-EBPM-02,enabled,SR02C-DI-EBPM-02:CF:ENABLED_S,
118,SR02C-DI-EBPM-02,x_fofb_disabled,SR02C-PC-HBPM-02:FAST:DISABLED,
118,SR02C-DI-EBPM-02,x_sofb_disabled,SR02C-PC-HBPM-02:SLOW:DISABLED,
118,SR02C-DI-EBPM-02,y_fofb_disabled,SR02C-PC-VBPM-02:FAST:DISABLED,
118,SR02C-DI-EBPM-02,y_sofb_disabled,SR02C-PC-VBPM-02:SLOW:DISABLED,
120,SR02A-PC-S3E-03,b2,SR02A-PC-S3E-03:I,SR02A-PC-S3E-03:SETI
122,SR02A-PC-Q3E-03,b1,SR02A-PC-Q3E-03:I,SR02A-PC-Q3E-03:SETI
126,SR02A-PC-S4E-04,b2,SR02A-PC-S4E-04:I,SR02A-PC-S4E-04:SETI
126,SR02A-PC-HSTR-04,b0,SR02A-PC-HSTR-04:I,SR02A-PC-HSTR-04:SETI
126,SR02A-PC-HSTR-04,h_fofb_disabled,SR02A-PC-HSTR-04:FAST:DISABLED,
126,SR02A-PC-HSTR-04,h_sofb_disabled,SR02A-PC-HSTR-04:SLOW:DISABLED,
126,SR02A-PC-VSTR-04,a0,SR02A-PC-VSTR-04:I,SR02A-PC-VSTR-04:SETI
126,SR02A-PC-VSTR-04,v_fofb_disabled,SR02A-PC-VSTR-04:FAST:DISABLED,
126,SR02A-PC-VSTR-04,v_sofb_disabled,SR02A-PC-VSTR-04:SLOW:DISABLED,
128,SR02A-PC-Q3E-04,b1,SR02A-PC-Q3E-04:I,SR02A-PC-Q3E-04:SETI
130,SR02A-PC-S3E-05,b2,SR02A-PC-S3E-05:I,SR02A-PC-S3E-05:SETI
130,SR02A-PC-HSTR-05,b0,SR02A-PC-HSTR-05:I,SR02A-PC-HSTR-05:SETI
130,SR02A-PC-HSTR-05,h_fofb_disabled,SR02A-PC-HSTR-05:FAST:DISABLED,
130,SR02A-PC-HSTR-05,h_sofb_disabled,SR02A-PC-HSTR-05:SLOW:DISABLED,
130,SR02A-PC-VSTR-05,a0,SR02A-PC-VSTR-05:I,SR02A-PC-VSTR-05:SETI
130,SR02A-PC-VSTR-05,v_fofb_disabled,SR02A-PC-VSTR-05:FAST:DISABLED,
130,SR02A-PC-VSTR-05,v_sofb_disabled,SR02A-PC-VSTR-05:SLOW:DISABLED,
134,SR02C-DI-EBPM-03,x,SR02C-DI-EBPM-03:SA:X,
134,SR02C-DI-EBPM-03,y,SR02C-DI-EBPM-03:SA:Y,
134,SR02C-DI-EBPM-03,enabled,SR02C-DI-EBPM-03:CF:ENABLED_S,
134,SR02C-DI-EBPM-03,x_fofb_disabled,SR02C-PC-HBPM-03:FAST:DISABLED,
134,SR02C-DI-EBPM-03,x_sofb_disabled,SR02C-PC-HBPM-03:SLOW:DISABLED,
134,SR02C-DI-EBPM-03,y_fofb_disabled,SR02C-PC-VBPM-03:FAST:DISABLED,
134,SR02C-DI-EBPM-03,y_sofb_disabled,SR02C-PC-VBPM-03:SLOW:DISABLED,
136,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
138,SR02A-PC-HSCOR-01,b0,SR02A-PC-HSCOR-01:I,SR02A-PC-HSCOR-01:SETI
138,SR02A-PC-HSCOR-01,h_fofb_disabled,SR02A-PC-HSCOR-01:FAST:DISABLED,
138,SR02A-PC-HSCOR-01,h_sofb_disabled,SR02A-PC-HSCOR-01:SLOW:DISABLED,
138,SR02A-PC-VSCOR-01,a0,SR02A-PC-VSCOR-01:I,SR02A-PC-VSCOR-01:SETI
138,SR02A-PC-VSCOR-01,v_fofb_disabled,SR02A-PC-VSCOR-01:FAST:DISABLED,
138,SR02A-PC-VSCOR-01,v_sofb_disabled,SR02A-PC-VSCOR-01:SLOW:DISABLED,
140,SR02A-PC-Q4E-05,b1,SR02A-PC-Q4E-05:I,SR02A-PC-Q4E-05:SETI
145,SR02C-DI-EBPM-04,x,SR02C-DI-EBPM-04:SA:X,
145,SR02C-DI-EBPM-04,y,SR02C-DI-EBPM-04:SA:Y,
145,SR02C-DI-EBPM-04,enabled,SR02C-DI-EBPM-04:CF:ENABLED_S,
145,SR02C-DI-EBPM-04,x_fofb_disabled,SR02C-PC-HBPM-04:FAST:DISABLED,
145,SR02C-DI-EBPM-04,x_sofb_disabled,SR02C-PC-HBPM-04:SLOW:DISABLED,
145,SR02C-DI-EBPM-04,y_fofb_disabled,SR02C-PC-VBPM-04:FAST:DISABLED,
145,SR02C-DI-EBPM-04,y_sofb_disabled,SR02C-PC-VBPM-04:SLOW:DISABLED,
153,SR02C-DI-EBPM-05,x,SR02C-DI-EBPM-05:SA:X,
153,SR02C-DI-EBPM-05,y,SR02C-DI-EBPM-05:SA:Y,
153,SR02C-DI-EBPM-05,enabled,SR02C-DI-EBPM-05:CF:ENABLED_S,
153,SR02C-DI-EBPM-05,x_fofb_disabled,SR02C-PC-HBPM-05:FAST:DISABLED,
153,SR02C-DI-EBPM-05,x_sofb_disabled,SR02C-PC-HBPM-05:SLOW:DISABLED,
153,SR02C-DI-EBPM-05,y_fofb_disabled,SR02C-PC-VBPM-05:FAST:DISABLED,
153,SR02C-DI-EBPM-05,y_sofb_disabled,SR02C-PC-VBPM-05:SLOW:DISABLED,
155,SR02A-PC-Q4E-06,b1,SR02A-PC-Q4E-06:I,SR02A-PC-Q4E-06:SETI
156,SR02A-PC-HSCOR-02,b0,SR02A-PC-HSCOR-02:I,SR02A-PC-HSCOR-02:SETI
156,SR02A-PC-HSCOR-02,h_fofb_disabled,SR02A-PC-HSCOR-02:FAST:DISABLED,
156,SR02A-PC-HSCOR-02,h_sofb_disabled,SR02A-PC-HSCOR-02:SLOW:DISABLED,
156,SR02A-PC-VSCOR-02,a0,SR02A-PC-VSCOR-02:I,SR02A-PC-VSCOR-02:SETI
156,SR02A-PC-VSCOR-02,v_fofb_disabled,SR02A-PC-VSCOR-02:FAST:DISABLED,
156,SR02A-PC-VSCOR-02,v_sofb_disabled,SR02A-PC-VSCOR-02:SLOW:DISABLED,
160,SR-PC-DIPOL-01,b0,SR-PC-DIPOL-01:I,SR-PC-DIPOL-01:SETI
167,SR02A-PC-S3E-06,b2,SR02A-PC-S3E-06:I,SR02A-PC-S3E-06:SETI
169,SR02A-PC-Q3E-07,b1,SR02A-PC-Q3E-07:I,SR02A-PC-Q3E-07:SETI
173,SR02C-DI-EBPM-06,x,SR02C-DI-EBPM-06:SA:X,
173,SR02C-DI-EBPM-06,y,SR02C-DI-EBPM-06:SA:Y,
173,SR02C-DI-EBPM-06,enabled,SR02C-DI-EBPM-06:CF:ENABLED_S,
173,SR02C-DI-EBPM-06,x_fofb_disabled,SR02C-PC-HBPM-06:FAST:DISABLED,
173,SR02C-DI-EBPM-06,x_sofb_disabled,SR02C-PC-HBPM-06:SLOW:DISABLED,
173,SR02C-DI-EBPM-06,y_fofb_disabled,SR02C-PC-VBPM-06:FAST:DISABLED,
173,SR02C-DI-EBPM-06,y_sofb_disabled,SR02C-PC-VBPM-06:SLOW:DISABLED,
175,SR02A-PC-S4E-07,b2,SR02A-PC-S4E-07:I,SR02A-PC-S4E-07:SETI
175,SR02A-PC-HSTR-07,b0,SR02A-PC-HSTR-07:I,SR02A-PC-HSTR-07:SETI
175,SR02A-PC-HSTR-07,h_fofb_disabled,SR02A-PC-HSTR-07:FAST:DISABLED,
175,SR02A-PC-HSTR-07,h_sofb_disabled,SR02A-PC-HSTR-07:SLOW:DISABLED,
175,SR02A-PC-VSTR-07,a0,SR02A-PC-VSTR-07:I,SR02A-PC-VSTR-07:SETI
175,SR02A-PC-VSTR-07,v_fofb_disabled,SR02A-PC-VSTR-07:FAST:DISABLED,
175,SR02A-PC-VSTR-07,v_sofb_disabled,SR02A-PC-VSTR-07:SLOW:DISABLED,
177,SR02A-PC-Q3E-08,b1,SR02A-PC-Q3E-08:I,SR02A-PC-Q3E-08:SETI
179,SR02A-PC-S3E-08,b2,SR02A-PC-S3E-08:I,SR02A-PC-S3E-08:SETI
179,SR02A-PC-HSTR-08,b0,SR02A-PC-HSTR-08:I,SR02A-PC-HSTR-08:SETI
179,SR02A-PC-HSTR-08,h_fofb_disabled,SR02A-PC-HSTR-08:FAST:DISABLED,
179,SR02A-PC-HSTR-08,h_sofb_disabled,SR02A-PC-HSTR-08:SLOW:DISABLED,
179,SR02A-PC-VSTR-08,a0,SR02A-PC-VSTR-08:I,SR02A-PC-VSTR-08:SETI
179,SR02A-PC-VSTR-08,v_fofb_disabled,SR02A-PC-VSTR-08:FAST:DISABLED,
179,SR02A-PC-VSTR-08,v_sofb_disabled,SR02A-PC-VSTR-08:SLOW:DISABLED,
183,SR02C-DI-EBPM-07,x,SR02C-DI-EBPM-07:SA:X,
183,SR02C-DI-EBPM-07,y,SR02C-DI-EBPM-07:SA:Y,
183,SR02C-DI-EBPM-07,enabled,SR02C-DI-EBPM-07:CF:ENABLED_S,
183,SR02C-DI-EBPM-07,x_fofb_disabled,SR02C-PC-HBPM-07:FAST:DISABLED,
183,SR02C-DI-EBPM-07,x_sofb_disabled,SR02C-PC-HBPM-07:SLOW:DISABLED,
183,SR02C-DI-EBPM-07,y_fofb_disabled,SR02C-PC-VBPM-07:FAST:DISABLED,
