el_id,field,uc_type,uc_id,phys_units,eng_units
294,y,poly,116,mm,m
304,x,poly,116,mm,m
304,y,poly,116,mm,m
342,x,poly,116,mm,m
342,y,poly,116,mm,m
358,x,poly,116,mm,m
358,y,poly,116,mm,m
364,x,poly,116,mm,m
364,y,poly,116,mm,m
372,x,poly,116,mm,m
372,y,poly,116,mm,m
386,x,poly,116,mm,m
386,y,poly,116,mm,m
396,x,poly,116,mm,m
396,y,poly,116,mm,m
406,x,poly,116,mm,m
406,y,poly,116,mm,m
423,x,poly,116,mm,m
423,y,poly,116,mm,m
439,x,poly,116,mm,m
439,y,poly,116,mm,m
445,x,poly,116,mm,m
445,y,poly,116,mm,m
453,x,poly,116,mm,m
453,y,poly,116,mm,m
467,x,poly,116,mm,m
467,y,poly,116,mm,m
477,x,poly,116,mm,m
477,y,poly,116,mm,m
487,x,poly,116,mm,m
487,y,poly,116,mm,m
514,x,poly,116,mm,m
514,y,poly,116,mm,m
530,x,poly,116,mm,m
530,y,poly,116,mm,m
536,x,poly,116,mm,m
536,y,poly,116,mm,m
544,x,poly,116,mm,m
544,y,poly,116,mm,m
558,x,poly,116,mm,m
558,y,poly,116,mm,m
568,x,poly,116,mm,m
568,y,poly,116,mm,m
578,x,poly,116,mm,m
578,y,poly,116,mm,m
606,x,poly,116,mm,m
606,y,poly,116,mm,m
622,x,poly,116,mm,m
622,y,poly,116,mm,m
628,x,poly,116,mm,m
628,y,poly,116,mm,m
636,x,poly,116,mm,m
636,y,poly,116,mm,m
650,x,poly,116,mm,m
650,y,poly,116,mm,m
661,x,poly,116,mm,m
661,y,poly,116,mm,m
671,x,poly,116,mm,m
671,y,poly,116,mm,m
685,x,poly,116,mm,m
685,y,poly,116,mm,m
701,x,poly,116,mm,m
701,y,poly,116,mm,m
707,x,poly,116,mm,m
707,y,poly,116,mm,m
715,x,poly,116,mm,m
715,y,poly,116,mm,m
729,x,poly,116,mm,m
729,y,poly,116,mm,m
739,x,poly,116,mm,m
739,y,poly,116,mm,m
755,x,poly,116,mm,m
755,y,poly,116,mm,m
767,x,poly,116,mm,m
767,y,poly,116,mm,m
780,x,poly,116,mm,m
780,y,poly,116,mm,m
795,x,poly,116,mm,m
795,y,poly,116,mm,m
817,x,poly,116,mm,m
817,y,poly,116,mm,m
823,x,poly,116,mm,m
823,y,poly,116,mm,m
831,x,poly,116,mm,m
831,y,poly,116,mm,m
845,x,poly,116,mm,m
845,y,poly,116,mm,m
855,x,poly,116,mm,m
855,y,poly,116,mm,m
865,x,poly,116,mm,m
865,y,poly,116,mm,m
915,x,poly,116,mm,m
915,y,poly,116,mm,m
931,x,poly,116,mm,m
931,y,poly,116,mm,m
937,x,poly,116,mm,m
937,y,poly,116,mm,m
945,x,poly,116,mm,m
945,y,poly,116,mm,m
959,x,poly,116,mm,m
959,y,poly,116,mm,m
969,x,poly,116,mm,m
969,y,poly,116,mm,m
979,x,poly,116,mm,m
979,y,poly,116,mm,m
993,x,poly,116,mm,m
993,y,poly,116,mm,m
1009,x,poly,116,mm,m
1009,y,poly,116,mm,m
1015,x,poly,116,mm,m
1015,y,poly,116,mm,m
1023,x,poly,116,mm,m
1023,y,poly,116,mm,m
1037,x,poly,116,mm,m
1037,y,poly,116,mm,m
1047,x,poly,116,mm,m
1047,y,poly,116,mm,m
1057,x,poly,116,mm,m
