el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
1402,b2,pchip,93,m^-3,A,-100,100
1578,b2,pchip,93,m^-3,A,-100,100
1633,b2,pchip,93,m^-3,A,-100,100
1657,b2,pchip,93,m^-3,A,-100,100
1711,b2,pchip,93,m^-3,A,-100,100
1923,b2,pchip,93,m^-3,A,-100,100
1978,b2,pchip,93,m^-3,A,-100,100
2002,b2,pchip,93,m^-3,A,-100,100
2057,b2,pchip,93,m^-3,A,-100,100
253,b2,pchip,94,m^-3,A,0,100
289,b2,pchip,95,m^-3,A,0,100
527,b2,pchip,96,m^-3,A,0,100
563,b2,pchip,97,m^-3,A,0,100
619,b2,pchip,98,m^-3,A,0,100
656,b2,pchip,99,m^-3,A,0,100
928,b2,pchip,100,m^-3,A,0,100
964,b2,pchip,101,m^-3,A,0,100
1006,b2,pchip,102,m^-3,A,0,100
1042,b2,pchip,103,m^-3,A,0,100
1278,b2,pchip,104,m^-3,A,0,100
1314,b2,pchip,105,m^-3,A,0,100
1356,b2,pchip,106,m^-3,A,0,100
1392,b2,pchip,107,m^-3,A,0,100
1586,b2,pchip,108,m^-3,A,0,100
1623,b2,pchip,109,m^-3,A,0,100
1665,b2,pchip,110,m^-3,A,0,100
1701,b2,pchip,111,m^-3,A,0,100
1931,b2,pchip,112,m^-3,A,0,100
1968,b2,pchip,113,m^-3,A,0,120
2010,b2,pchip,114,m^-3,A,0,100
2047,b2,pchip,115,m^-3,A,0,100
21,b0,pchip,116,m^-1,A,0,1400
49,b0,pchip,116,m^-1,A,0,1400
111,b0,pchip,116,m^-1,A,0,1400
136,b0,pchip,116,m^-1,A,0,1400
164,b0,pchip,116,m^-1,A,0,1400
189,b0,pchip,116,m^-1,A,0,1400
258,b0,pchip,116,m^-1,A,0,1400
286,b0,pchip,116,m^-1,A,0,1400
360,b0,pchip,116,m^-1,A,0,1400
388,b0,pchip,116,m^-1,A,0,1400
441,b0,pchip,116,m^-1,A,0,1400
469,b0,pchip,116,m^-1,A,0,1400
532,b0,pchip,116,m^-1,A,0,1400
560,b0,pchip,116,m^-1,A,0,1400
624,b0,pchip,116,m^-1,A,0,1400
653,b0,pchip,116,m^-1,A,0,1400
703,b0,pchip,116,m^-1,A,0,1400
731,b0,pchip,116,m^-1,A,0,1400
819,b0,pchip,116,m^-1,A,0,1400
847,b0,pchip,116,m^-1,A,0,1400
933,b0,pchip,116,m^-1,A,0,1400
961,b0,pchip,116,m^-1,A,0,1400
1011,b0,pchip,116,m^-1,A,0,1400
1039,b0,pchip,116,m^-1,A,0,1400
1089,b0,pchip,116,m^-1,A,0,1400
1117,b0,pchip,116,m^-1,A,0,1400
1205,b0,pchip,116,m^-1,A,0,1400
1233,b0,pchip,116,m^-1,A,0,1400
1283,b0,pchip,116,m^-1,A,0,1400
1311,b0,pchip,116,m^-1,A,0,1400
1361,b0,pchip,116,m^-1,A,0,1400
1389,b0,pchip,116,m^-1,A,0,1400
1441,b0,pchip,116,m^-1,A,0,1400
1470,b0,pchip,116,m^-1,A,0,1400
1511,b0,pchip,116,m^-1,A,0,1400
1539,b0,pchip,116,m^-1,A,0,1400
1591,b0,pchip,116,m^-1,A,0,1400
1620,b0,pchip,116,m^-1,A,0,1400
1670,b0,pchip,116,m^-1,A,0,1400
1698,b0,pchip,116,m^-1,A,0,1400
1779,b0,pchip,116,m^-1,A,0,1400
1807,b0,pchip,116,m^-1,A,0,1400
1857,b0,pchip,116,m^-1,A,0,1400
1886,b0,pchip,116,m^-1,A,0,1400
1936,b0,pchip,116,m^-1,A,0,1400
1965,b0,pchip,116,m^-1,A,0,1400
2015,b0,pchip,116,m^-1,A,0,1400
2044,b0,pchip,116,m^-1,A,0,1400
2094,b0,pchip,116,m^-1,A,0,1400
2123,b0,pchip,116,m^-1,A,0,1400
111,db0,pchip,117,m^-1,A,0,200
189,db0,pchip,117,m^-1,A,0,200
136,db0,pchip,118,m^-1,A,0,200
164,db0,pchip,118,m^-1,A,0,200
3,x,poly,119,mm,m,,
3,y,poly,119,mm,m,,
19,x,poly,119,mm,m,,
19,y,poly,119,mm,m,,
25,x,poly,119,mm,m,,
25,y,poly,119,mm,m,,
33,x,poly,119,mm,m,,
33,y,poly,119,mm,m,,
47,x,poly,119,mm,m,,
47,y,poly,119,mm,m,,
57,x,poly,119,mm,m,,
57,y,poly,119,mm,m,,
67,x,poly,119,mm,m,,
67,y,poly,119,mm,m,,
95,x,poly,119,mm,m,,
95,y,poly,119,mm,m,,
118,x,poly,119,mm,m,,
118,y,poly,119,mm,m,,
134,x,poly,119,mm,m,,
134,y,poly,119,mm,m,,
147,x,poly,119,mm,m,,
147,y,poly,119,mm,m,,
155,x,poly,119,mm,m,,
155,y,poly,119,mm,m,,
177,x,poly,119,mm,m,,
177,y,poly,119,mm,m,,
187,x,poly,119,mm,m,,
187,y,poly,119,mm,m,,
212,x,poly,119,mm,m,,
212,y,poly,119,mm,m,,
240,x,poly,119,mm,m,,
240,y,poly,119,mm,m,,
256,x,poly,119,mm,m,,
256,y,poly,119,mm,m,,
262,x,poly,119,mm,m,,
262,y,poly,119,mm,m,,
270,x,poly,119,mm,m,,
270,y,poly,119,mm,m,,
284,x,poly,119,mm,m,,
284,y,poly,119,mm,m,,
294,x,poly,119,mm,m,,
294,y,poly,119,mm,m,,
304,x,poly,119,mm,m,,
304,y,poly,119,mm,m,,
342,x,poly,119,mm,m,,
342,y,poly,119,mm,m,,
358,x,poly,119,mm,m,,
358,y,poly,119,mm,m,,
364,x,poly,119,mm,m,,
364,y,poly,119,mm,m,,
372,x,poly,119,mm,m,,
372,y,poly,119,mm,m,,
386,x,poly,119,mm,m,,
386,y,poly,119,mm,m,,
396,x,poly,119,mm,m,,
396,y,poly,119,mm,m,,
406,x,poly,119,mm,m,,
406,y,poly,119,mm,m,,
423,x,poly,119,mm,m,,
423,y,poly,119,mm,m,,
439,x,poly,119,mm,m,,
439,y,poly,119,mm,m,,
445,x,poly,119,mm,m,,
445,y,poly,119,mm,m,,
453,x,poly,119,mm,m,,
453,y,poly,119,mm,m,,
467,x,poly,119,mm,m,,
467,y,poly,119,mm,m,,
477,x,poly,119,mm,m,,
477,y,poly,119,mm,m,,
487,x,poly,119,mm,m,,
487,y,poly,119,mm,m,,
514,x,poly,119,mm,m,,
514,y,poly,119,mm,m,,
530,x,poly,119,mm,m,,
530,y,poly,119,mm,m,,
536,x,poly,119,mm,m,,
536,y,poly,119,mm,m,,
544,x,poly,119,mm,m,,
544,y,poly,119,mm,m,,
558,x,poly,119,mm,m,,
558,y,poly,119,mm,m,,
568,x,poly,119,mm,m,,
568,y,poly,119,mm,m,,
578,x,poly,119,mm,m,,
578,y,poly,119,mm,m,,
606,x,poly,119,mm,m,,
606,y,poly,119,mm,m,,
622,x,poly,119,mm,m,,
622,y,poly,119,mm,m,,
628,x,poly,119,mm,m,,
628,y,poly,119,mm,m,,
636,x,poly,119,mm,m,,
636,y,poly,119,mm,m,,
650,x,poly,119,mm,m,,
650,y,poly,119,mm,m,,
661,x,poly,119,mm,m,,
661,y,poly,119,mm,m,,
671,x,poly,119,mm,m,,
671,y,poly,119,mm,m,,
685,x,poly,119,mm,m,,
685,y,poly,119,mm,m,,
701,x,poly,119,mm,m,,
701,y,poly,119,mm,m,,
707,x,poly,119,mm,m,,
707,y,poly,119,mm,m,,
715,x,poly,119,mm,m,,
715,y,poly,119,mm,m,,
729,x,poly,119,mm,m,,
729,y,poly,119,mm,m,,
739,x,poly,119,mm,m,,
739,y,poly,119,mm,m,,
755,x,poly,119,mm,m,,
755,y,poly,119,mm,m,,
767,x,poly,119,mm,m,,
767,y,poly,119,mm,m,,
780,x,poly,119,mm,m,,
780,y,poly,119,mm,m,,
795,x,poly,119,mm,m,,
795,y,poly,119,mm,m,,
817,x,poly,119,mm,m,,
817,y,poly,119,mm,m,,
823,x,poly,119,mm,m,,
823,y,poly,119,mm,m,,
831,x,poly,119,mm,m,,
831,y,poly,119,mm,m,,
845,x,poly,119,mm,m,,
845,y,poly,119,mm,m,,
855,x,poly,119,mm,m,,
855,y,poly,119,mm,m,,
865,x,poly,119,mm,m,,
865,y,poly,119,mm,m,,
915,x,poly,119,mm,m,,
915,y,poly,119,mm,m,,
931,x,poly,119,mm,m,,
931,y,poly,119,mm,m,,
937,x,poly,119,mm,m,,
937,y,poly,119,mm,m,,
945,x,poly,119,mm,m,,
945,y,poly,119,mm,m,,
959,x,poly,119,mm,m,,
959,y,poly,119,mm,m,,
969,x,poly,119,mm,m,,
969,y,poly,119,mm,m,,
979,x,poly,119,mm,m,,
979,y,poly,119,mm,m,,
993,x,poly,119,mm,m,,
993,y,poly,119,mm,m,,
1009,x,poly,119,mm,m,,
1009,y,poly,119,mm,m,,
1015,x,poly,119,mm,m,,
1015,y,poly,119,mm,m,,
1023,x,poly,119,mm,m,,
1023,y,poly,119,mm,m,,
1037,x,poly,119,mm,m,,
1037,y,poly,119,mm,m,,
1047,x,poly,119,mm,m,,
1047,y,poly,119,mm,m,,
1057,x,poly,119,mm,m,,
1057,y,poly,119,mm,m,,
1071,x,poly,119,mm,m,,
1071,y,poly,119,mm,m,,
1087,x,poly,119,mm,m,,
1087,y,poly,119,mm,m,,
1093,x,poly,119,mm,m,,
1093,y,poly,119,mm,m,,
1101,x,poly,119,mm,m,,
1101,y,poly,119,mm,m,,
1115,x,poly,119,mm,m,,
1115,y,poly,119,mm,m,,
1125,x,poly,119,mm,m,,
1125,y,poly,119,mm,m,,
1141,x,poly,119,mm,m,,
1141,y,poly,119,mm,m,,
1153,x,poly,119,mm,m,,
1153,y,poly,119,mm,m,,
1166,x,poly,119,mm,m,,
1166,y,poly,119,mm,m,,
1181,x,poly,119,mm,m,,
