el_id,field,uc_type,uc_id,phys_units,eng_units
855,y,poly,118,mm,m
865,x,poly,118,mm,m
865,y,poly,118,mm,m
915,x,poly,118,mm,m
915,y,poly,118,mm,m
931,x,poly,118,mm,m
931,y,poly,118,mm,m
937,x,poly,118,mm,m
937,y,poly,118,mm,m
945,x,poly,118,mm,m
945,y,poly,118,mm,m
959,x,poly,118,mm,m
959,y,poly,118,mm,m
969,x,poly,118,mm,m
969,y,poly,118,mm,m
979,x,poly,118,mm,m
979,y,poly,118,mm,m
993,x,poly,118,mm,m
993,y,poly,118,mm,m
1009,x,poly,118,mm,m
1009,y,poly,118,mm,m
1015,x,poly,118,mm,m
1015,y,poly,118,mm,m
1023,x,poly,118,mm,m
1023,y,poly,118,mm,m
1039,x,poly,118,mm,m
1039,y,poly,118,mm,m
1049,x,poly,118,mm,m
1049,y,poly,118,mm,m
1059,x,poly,118,mm,m
1059,y,poly,118,mm,m
1073,x,poly,118,mm,m
1073,y,poly,118,mm,m
1089,x,poly,118,mm,m
1089,y,poly,118,mm,m
1095,x,poly,118,mm,m
1095,y,poly,118,mm,m
1103,x,poly,118,mm,m
1103,y,poly,118,mm,m
1117,x,poly,118,mm,m
1117,y,poly,118,mm,m
1127,x,poly,118,mm,m
1127,y,poly,118,mm,m
1143,x,poly,118,mm,m
1143,y,poly,118,mm,m
1155,x,poly,118,mm,m
1155,y,poly,118,mm,m
1168,x,poly,118,mm,m
1168,y,poly,118,mm,m
1183,x,poly,118,mm,m
1183,y,poly,118,mm,m
1205,x,poly,118,mm,m
1205,y,poly,118,mm,m
1211,x,poly,118,mm,m
1211,y,poly,118,mm,m
1219,x,poly,118,mm,m
1219,y,poly,118,mm,m
1233,x,poly,118,mm,m
1233,y,poly,118,mm,m
1243,x,poly,118,mm,m
1243,y,poly,118,mm,m
1253,x,poly,118,mm,m
1253,y,poly,118,mm,m
1267,x,poly,118,mm,m
1267,y,poly,118,mm,m
1283,x,poly,118,mm,m
1283,y,poly,118,mm,m
1289,x,poly,118,mm,m
1289,y,poly,118,mm,m
1297,x,poly,118,mm,m
1297,y,poly,118,mm,m
1311,x,poly,118,mm,m
1311,y,poly,118,mm,m
1321,x,poly,118,mm,m
1321,y,poly,118,mm,m
1331,x,poly,118,mm,m
1331,y,poly,118,mm,m
1345,x,poly,118,mm,m
1345,y,poly,118,mm,m
1361,x,poly,118,mm,m
1361,y,poly,118,mm,m
1367,x,poly,118,mm,m
1367,y,poly,118,mm,m
1375,x,poly,118,mm,m
1375,y,poly,118,mm,m
1389,x,poly,118,mm,m
1389,y,poly,118,mm,m
1399,x,poly,118,mm,m
1399,y,poly,118,mm,m
1409,x,poly,118,mm,m
1409,y,poly,118,mm,m
1425,x,poly,118,mm,m
1425,y,poly,118,mm,m
1441,x,poly,118,mm,m
1441,y,poly,118,mm,m
1447,x,poly,118,mm,m
1447,y,poly,118,mm,m
