id,name,field,get_pv,set_pv
1127,SR12C-DI-EBPM-06,y,SR12C-DI-EBPM-06:SA:Y,
1127,SR12C-DI-EBPM-06,enabled,SR12C-DI-EBPM-06:CF:ENABLED_S,
1127,SR12C-DI-EBPM-06,x_fofb_disabled,SR12C-PC-HBPM-06:FAST:DISABLED,
1127,SR12C-DI-EBPM-06,x_sofb_disabled,SR12C-PC-HBPM-06:SLOW:DISABLED,
1127,SR12C-DI-EBPM-06,y_fofb_disabled,SR12C-PC-VBPM-06:FAST:DISABLED,
1127,SR12C-DI-EBPM-06,y_sofb_disabled,SR12C-PC-VBPM-06:SLOW:DISABLED,
1129,SR12A-PC-Q2D-09,b1,SR12A-PC-Q2D-09:I,SR12A-PC-Q2D-09:SETI
1132,SR12A-PC-S1D-07,b2,SR12A-PC-S1D-07:I,SR12A-PC-S1D-07:SETI
1132,SR12A-PC-HSTR-07,b0,SR12A-PC-HSTR-07:I,SR12A-PC-HSTR-07:SETI
1132,SR12A-PC-HSTR-07,h_fofb_disabled,SR12A-PC-HSTR-07:FAST:DISABLED,
1132,SR12A-PC-HSTR-07,h_sofb_disabled,SR12A-PC-HSTR-07:SLOW:DISABLED,
1132,SR12A-PC-VSTR-07,a0,SR12A-PC-VSTR-07:I,SR12A-PC-VSTR-07:SETI
1132,SR12A-PC-VSTR-07,v_fofb_disabled,SR12A-PC-VSTR-07:FAST:DISABLED,
1132,SR12A-PC-VSTR-07,v_sofb_disabled,SR12A-PC-VSTR-07:SLOW:DISABLED,
1135,SR12A-PC-Q1D-10,b1,SR12A-PC-Q1D-10:I,SR12A-PC-Q1D-10:SETI
1137,SR12A-PC-QUADF-01,b1,SR12A-PC-QUADF-01:I,SR12A-PC-QUADF-01:SETI
1143,SR12C-DI-EBPM-07,x,SR12C-DI-EBPM-07:SA:X,
1143,SR12C-DI-EBPM-07,y,SR12C-DI-EBPM-07:SA:Y,
1143,SR12C-DI-EBPM-07,enabled,SR12C-DI-EBPM-07:CF:ENABLED_S,
1143,SR12C-DI-EBPM-07,x_fofb_disabled,SR12C-PC-HBPM-07:FAST:DISABLED,
1143,SR12C-DI-EBPM-07,x_sofb_disabled,SR12C-PC-HBPM-07:SLOW:DISABLED,
1143,SR12C-DI-EBPM-07,y_fofb_disabled,SR12C-PC-VBPM-07:FAST:DISABLED,
1143,SR12C-DI-EBPM-07,y_sofb_disabled,SR12C-PC-VBPM-07:SLOW:DISABLED,
1155,SR13S-DI-EBPM-01,x,SR13S-DI-EBPM-01:SA:X,
1155,SR13S-DI-EBPM-01,y,SR13S-DI-EBPM-01:SA:Y,
1155,SR13S-DI-EBPM-01,enabled,SR13S-DI-EBPM-01:CF:ENABLED_S,
1155,SR13S-DI-EBPM-01,x_fofb_disabled,SR13S-PC-HBPM-01:FAST:DISABLED,
1155,SR13S-DI-EBPM-01,x_sofb_disabled,SR13S-PC-HBPM-01:SLOW:DISABLED,
1155,SR13S-DI-EBPM-01,y_fofb_disabled,SR13S-PC-VBPM-01:FAST:DISABLED,
1155,SR13S-DI-EBPM-01,y_sofb_disabled,SR13S-PC-VBPM-01:SLOW:DISABLED,
1157,SR13S-PC-HSTR-01,b0,SR13S-PC-HSTR-01:I,SR13S-PC-HSTR-01:SETI
1157,SR13S-PC-HSTR-01,h_fofb_disabled,SR13S-PC-HSTR-01:FAST:DISABLED,
1157,SR13S-PC-HSTR-01,h_sofb_disabled,SR13S-PC-HSTR-01:SLOW:DISABLED,
1158,SR13S-PC-VSTR-01,a0,SR13S-PC-VSTR-01:I,SR13S-PC-VSTR-01:SETI
1158,SR13S-PC-VSTR-01,v_fofb_disabled,SR13S-PC-VSTR-01:FAST:DISABLED,
1158,SR13S-PC-VSTR-01,v_sofb_disabled,SR13S-PC-VSTR-01:SLOW:DISABLED,
1164,SR13S-PC-QUADD-02,b1,SR13S-PC-QUADD-02:I,SR13S-PC-QUADD-02:SETI
1166,SR13S-PC-QUADF-03,b1,SR13S-PC-QUADF-03:I,SR13S-PC-QUADF-03:SETI
1168,SR13S-DI-EBPM-02,x,SR13S-DI-EBPM-02:SA:X,
1168,SR13S-DI-EBPM-02,y,SR13S-DI-EBPM-02:SA:Y,
1168,SR13S-DI-EBPM-02,enabled,SR13S-DI-EBPM-02:CF:ENABLED_S,
1168,SR13S-DI-EBPM-02,x_fofb_disabled,SR13S-PC-HBPM-02:FAST:DISABLED,
1168,SR13S-DI-EBPM-02,x_sofb_disabled,SR13S-PC-HBPM-02:SLOW:DISABLED,
1168,SR13S-DI-EBPM-02,y_fofb_disabled,SR13S-PC-VBPM-02:FAST:DISABLED,
